datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,FE,6619
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,DEOK,2740
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,EKPC,1452
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,PJME,26197
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,PJMW,5081
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,AEP,13594
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,DUQ,1357
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,DOM,10564
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,COMED,9587
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,DAYTON,1774
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,FE,6652
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,DEOK,2797
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,EKPC,1495
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,PJME,26560
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,PJMW,5212
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,AEP,13644
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,DUQ,1407
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,DOM,10671
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,COMED,9530
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,DAYTON,1785
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,FE,6706
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,DEOK,2823
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,EKPC,1549
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,PJME,26688
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,PJMW,5309
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,AEP,13346
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,DUQ,1413
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,DOM,10426
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,COMED,9513
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,DAYTON,1771
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,FE,6708
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,DEOK,2834
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,EKPC,1508
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,PJME,26567
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,PJMW,5232
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,AEP,13054
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,DUQ,1423
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,DOM,10085
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,COMED,9477
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,DAYTON,1737
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,FE,6702
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,DEOK,2820
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,EKPC,1490
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,PJME,26448
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,PJMW,5131
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,AEP,12922
